,graph,size,copies,epochs,kendalltau,avg
0,LFR_10_graphs_10000_size,10000,1,0,0.5931971693928472,0.007302080665290701
1,LFR_10_graphs_10000_size,10000,1,1,0.6398961853999556,0.008716904149531237
2,LFR_10_graphs_10000_size,10000,1,2,0.6603352087284055,0.009261372389341395
3,LFR_10_graphs_10000_size,10000,1,3,0.6710499681307712,0.009276506622529232
4,LFR_10_graphs_10000_size,10000,1,4,0.6790600932150318,0.00916290986480306
5,LFR_10_graphs_10000_size,10000,1,5,0.685439774386723,0.008958949392941479
6,LFR_10_graphs_10000_size,10000,1,6,0.6917259177991414,0.008747096109924088
7,LFR_10_graphs_10000_size,10000,1,7,0.6990269397237988,0.008543859598489042
8,LFR_10_graphs_10000_size,10000,1,8,0.7063676756213927,0.00836744485482971
9,LFR_10_graphs_10000_size,10000,1,9,0.7125048734167996,0.008213874722530054
10,LFR_10_graphs_10000_size,10000,1,10,0.7179122114656925,0.007983905807653903
11,LFR_10_graphs_10000_size,10000,1,11,0.7226255235834456,0.0077307613576160185
12,LFR_10_graphs_10000_size,10000,1,12,0.7265624094260718,0.0074822187466633905
13,LFR_10_graphs_10000_size,10000,1,13,0.7297363484001874,0.0072279605374839205
14,LFR_10_graphs_10000_size,10000,1,14,0.7323074076646247,0.006995046996807874
15,LFR_10_graphs_10000_size,10000,10,0,0.7127223928908614,0.008159886792741523
16,LFR_10_graphs_10000_size,10000,10,1,0.7423569631264754,0.006250428299634243
17,LFR_10_graphs_10000_size,10000,10,2,0.750171852866644,0.0059001282328694895
18,LFR_10_graphs_10000_size,10000,10,3,0.7533806785090607,0.005631640201019693
19,LFR_10_graphs_10000_size,10000,10,4,0.7551906511070801,0.005530272789691616
20,LFR_10_graphs_10000_size,10000,10,5,0.7554266225671018,0.005568579942505162
21,LFR_10_graphs_10000_size,10000,10,6,0.7544673905830128,0.005657258602388167
22,LFR_10_graphs_10000_size,10000,10,7,0.7541464701418179,0.005761069300412175
23,LFR_10_graphs_10000_size,10000,10,8,0.7537615942341865,0.005687711248969411
24,LFR_10_graphs_10000_size,10000,10,9,0.7528530820469638,0.005689510796051249
25,LFR_10_graphs_10000_size,10000,10,10,0.7525069600427944,0.005637354054630749
26,LFR_10_graphs_10000_size,10000,10,11,0.7519957472001261,0.00550108576116903
27,LFR_10_graphs_10000_size,10000,10,12,0.7514206565719819,0.005450925502050683
28,LFR_10_graphs_10000_size,10000,10,13,0.75074709162212,0.00541559848986798
29,LFR_10_graphs_10000_size,10000,10,14,0.7508811613971006,0.005505912534896663
30,LFR_10_graphs_10000_size,10000,20,0,0.7423121390799068,0.006207935527336635
31,LFR_10_graphs_10000_size,10000,20,1,0.7539472649632615,0.005459457558447352
32,LFR_10_graphs_10000_size,10000,20,2,0.7582533402919387,0.005070212616899571
33,LFR_10_graphs_10000_size,10000,20,3,0.7600777763260609,0.004836956181457901
34,LFR_10_graphs_10000_size,10000,20,4,0.7601251224525826,0.004594225055759356
35,LFR_10_graphs_10000_size,10000,20,5,0.7598773139298631,0.004599536336455515
36,LFR_10_graphs_10000_size,10000,20,6,0.759137776941431,0.0048377990495041935
37,LFR_10_graphs_10000_size,10000,20,7,0.7583885041903784,0.005032843591534248
38,LFR_10_graphs_10000_size,10000,20,8,0.7578288129554832,0.005372138475541109
39,LFR_10_graphs_10000_size,10000,20,9,0.7576169474715602,0.005672532064607445
40,LFR_10_graphs_10000_size,10000,20,10,0.7575045613274385,0.005970456819986438
41,LFR_10_graphs_10000_size,10000,20,11,0.7568312278562088,0.006250349839283248
42,LFR_10_graphs_10000_size,10000,20,12,0.7563425907123549,0.006426664789888645
43,LFR_10_graphs_10000_size,10000,20,13,0.7557842119531187,0.006699681020077742
44,LFR_10_graphs_10000_size,10000,20,14,0.7550127923696925,0.006703512189352164
45,LFR_10_graphs_10000_size,10000,40,0,0.7538059697018439,0.00549298722160384
46,LFR_10_graphs_10000_size,10000,40,1,0.7616151491664048,0.004969881235381102
47,LFR_10_graphs_10000_size,10000,40,2,0.7653113605041486,0.004894178402182737
48,LFR_10_graphs_10000_size,10000,40,3,0.7663427283123282,0.00492570916264671
49,LFR_10_graphs_10000_size,10000,40,4,0.7663166092652964,0.005240760835513523
50,LFR_10_graphs_10000_size,10000,40,5,0.7656827028419443,0.005646563127414525
51,LFR_10_graphs_10000_size,10000,40,6,0.7651142884717601,0.005806466166853073
52,LFR_10_graphs_10000_size,10000,40,7,0.76480138278884,0.006058761476629082
53,LFR_10_graphs_10000_size,10000,40,8,0.7639033366418698,0.006092622802962537
54,LFR_10_graphs_10000_size,10000,40,9,0.7639159709948127,0.006336717521252367
55,LFR_10_graphs_10000_size,10000,40,10,0.7637105414454302,0.006497172738877217
56,LFR_10_graphs_10000_size,10000,40,11,0.7629200292278162,0.00656357875280527
57,LFR_10_graphs_10000_size,10000,40,12,0.763836109525845,0.006739584962598814
58,LFR_10_graphs_10000_size,10000,40,13,0.762872538456848,0.006654783556262856
59,LFR_10_graphs_10000_size,10000,40,14,0.7631153091577489,0.006714280063143367
